runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,260.0,265.08,26.15556264537625,20.044,65.21209999999999,106.44536000000016,5.19,214.966,15907,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,26.15556264537625
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,280.0,260.75,28.846690759202456,22.223,70.56559999999998,114.09506000000012,5.176,433.772,15648,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,28.846690759202456
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,300.0,262.53,26.922939245810056,20.5595,66.69825,107.22925999999994,4.794,323.266,15752,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,26.922939245810056
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,20.0,20.0,9.001803333333333,7.4475,17.410599999999995,27.37282999999998,5.117,108.056,1200,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,9.001803333333333
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,40.0,39.98,8.400650270946228,6.997,16.162699999999997,26.95844,4.296,70.005,2399,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,8.400650270946228
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,60.0,62.45,8.80277742193755,7.158,17.869899999999994,29.91406,3.993,104.741,3747,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,8.80277742193755
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,80.0,82.8,10.521092793880838,7.4565,25.89095,55.92093999999999,4.204,130.542,4968,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,10.521092793880838
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,100.0,99.18,8.63107830616703,6.854,18.198,30.444,3.91,157.313,5951,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,8.63107830616703
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,120.0,121.58,11.08370253598355,7.459,27.36249999999999,67.1456399999999,3.768,223.17,7295,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,11.08370253598355
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,140.0,138.52,9.829811815665986,7.733,21.54,35.3923,3.835,172.396,8311,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,9.829811815665986
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,160.0,158.03,12.990673802995149,8.9115,32.3967,73.93618000000048,3.766,188.723,9482,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,12.990673802995149
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,180.0,186.67,12.061395178571429,9.181,28.67415,47.58487000000004,3.443,230.431,11200,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,12.061395178571429
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,200.0,187.58,12.085400888494004,9.191,28.787,46.94925999999984,3.781,127.166,11255,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,12.085400888494004
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,220.0,224.35,14.177753361563036,10.928,33.314,53.73219999999999,3.52,199.597,13461,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,14.177753361563036
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,240.0,224.98,14.871261352692793,11.255,35.84159999999999,56.88062000000004,3.877,176.472,13499,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,14.871261352692793
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,260.0,260.56,25.60082112937264,17.962,69.9288,125.03655999999998,3.912,1106.468,15637,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,25.60082112937264
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,280.0,261.01,24.08362437747414,17.98,60.49374999999999,101.24121999999994,4.348,396.22,15662,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,24.08362437747414
go,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,300.0,268.59,24.670104789676135,17.5785,66.5916,116.63450999999998,4.26,268.85,16118,results_fibonacci_go_b4,69.9283185840708,25.23981955199115,10.0,24.670104789676135
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,20.0,20.0,8.996883333333333,7.6335,16.880899999999997,24.398459999999996,5.319,152.251,1200,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,8.996883333333333
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,40.0,40.0,8.625092916666667,7.22,17.262649999999997,24.313289999999967,4.581,44.407,2400,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,8.625092916666667
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,60.0,62.44,8.712435815318923,7.249,17.5174,26.626139999999992,4.168,56.417,3747,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,8.712435815318923
