timestamp,rps_test_running,pod_count,pod_names,cpu_usage_millicores,memory_usage_mib,cpu_limit_millicores,memory_limit_mib,cpu_request_millicores,memory_request_mib,pods_ready,pods_pending,pods_failed,scaling_events,avg_latency_ms
2025-07-27T12:45:06.256004,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,320,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:09.434575,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,320,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:12.594735,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,310,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:15.511680,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,310,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:18.620997,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,310,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:21.863355,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,310,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:24.923217,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,310,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:28.134476,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,281,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:31.626734,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,281,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:34.877805,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,281,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:37.945701,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,281,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:41.155366,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,340,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:44.370002,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,340,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:47.422662,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,340,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:50.523632,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,340,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:53.601648,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,340,53,0,0,0,0,1,0,0,,
2025-07-27T12:45:56.789454,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,339,54,0,0,0,0,1,0,0,,
2025-07-27T12:45:59.882563,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,339,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:02.938620,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,339,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:05.972652,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,339,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:09.027031,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,339,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:12.314119,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,314,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:15.412477,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,314,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:18.314572,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,314,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:21.803572,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,314,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:24.854914,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,314,54,0,0,0,0,1,0,0,,
2025-07-27T12:46:27.918606,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,300,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:31.126560,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,300,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:34.486576,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,300,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:37.770712,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,300,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:40.840460,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,349,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:44.065941,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,349,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:47.403911,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,349,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:50.619613,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,349,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:53.705154,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,349,53,0,0,0,0,1,0,0,,
2025-07-27T12:46:56.990637,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,381,53,0,0,0,0,1,0,0,,
2025-07-27T12:47:00.076832,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,381,53,0,0,0,0,1,0,0,,
