runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,120.0,61.23,7.189340411052131,5.851,19.368,37.67229999999999,1.026,92.78,7347,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,140.0,69.78,6.350352280869358,5.5925,15.541349999999998,25.88702000000001,0.984,81.141,8374,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,160.0,80.1,6.449913848715014,5.558,15.938,27.794399999999992,0.991,108.119,9611,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,180.0,93.81,7.616297299697992,5.934,20.69515,36.785380000000046,1.024,353.192,11258,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,200.0,95.72,6.646385773985722,5.6235,16.50725,28.36574999999993,0.974,168.367,11486,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,220.0,114.75,8.35855236020334,6.189,22.873949999999997,41.72979999999991,1.071,123.297,13770,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,240.0,115.47,7.975809266074908,6.204,20.8384,35.70828000000002,1.058,177.883,13857,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,260.0,138.23,15.814515010851215,8.1935,59.42679999999999,125.71052,1.103,280.466,16588,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,280.0,136.68,15.841312282840596,8.973,54.83799999999992,104.054,1.052,260.695,16405,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b5,"Deca Pod (10 pods, 100m)",10,100,1000,100,300.0,139.33,14.618304670214677,8.213,52.54679999999999,100.09241999999983,0.963,213.801,16723,results_fibonacci_go_b5,41.70040485829961,26.127593623481783,10.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,20.0,10.0,6.478899999999999,6.235,14.683149999999998,24.28164,1.65,40.948,1200,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,40.0,20.0,6.138317916666667,5.9595,13.64029999999999,22.233659999999936,1.22,76.625,2400,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,60.0,31.2,5.99691452991453,5.768,13.749549999999996,22.071900000000014,1.117,107.551,3744,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,80.0,41.53,6.000101946618503,5.672,13.745799999999974,23.064000000000146,0.994,159.191,4983,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,100.0,49.73,5.859348416289593,5.48,13.795199999999992,22.64968,1.064,94.325,5967,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,120.0,61.52,6.514989298293145,5.5655,16.4104,29.245479999999844,1.03,105.286,7382,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,140.0,69.57,6.603304144705319,5.847,16.16865,25.310300000000005,1.083,103.115,8348,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,160.0,80.33,6.994211225230833,5.928,18.033300000000004,29.14352000000012,0.948,75.207,9639,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,180.0,93.85,7.972415467945303,6.25,21.521649999999998,37.65498999999998,0.969,103.594,11262,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
